               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.018339,            0.016387,          0.00014027,             0.98409,             0.99148,             0.98687,             0.61937,            0.029104,            0.016912,          0.00056454,             0.00109,             0.00109,             0.00109
                 110,            0.018284,            0.016605,          0.00015434,             0.98535,             0.98985,             0.98428,             0.62328,            0.028888,            0.016689,          0.00046922,           0.0010075,           0.0010075,           0.0010075
                 111,            0.017964,            0.016512,          0.00016748,             0.98666,             0.99027,             0.98841,             0.61496,            0.029104,            0.016922,           0.0005038,            0.000925,            0.000925,            0.000925
                 112,            0.017953,            0.016527,          0.00011838,             0.98778,             0.99159,             0.98983,             0.61677,            0.029145,             0.01713,          0.00047193,           0.0008425,           0.0008425,           0.0008425
                 113,            0.017833,            0.016701,          0.00011682,             0.98491,             0.99257,             0.98889,             0.61054,            0.029189,             0.01709,          0.00047422,             0.00076,             0.00076,             0.00076
                 114,             0.01792,            0.016519,          0.00016809,             0.98662,             0.99065,             0.98911,             0.61557,            0.029133,            0.017017,           0.0004922,           0.0006775,           0.0006775,           0.0006775
                 115,            0.017624,            0.016433,          9.8133e-05,             0.98696,             0.99099,              0.9881,             0.61674,             0.02899,            0.017097,          0.00048741,            0.000595,            0.000595,            0.000595
                 116,            0.017856,            0.016337,          0.00014044,             0.98662,             0.99157,             0.98882,             0.61459,            0.029182,            0.017169,          0.00044606,           0.0005125,           0.0005125,           0.0005125
                 117,            0.017543,             0.01634,          0.00014405,              0.9858,             0.98944,             0.98494,             0.61651,            0.029044,            0.017205,          0.00046388,             0.00043,             0.00043,             0.00043
                 118,            0.017569,            0.016301,          0.00015248,              0.9867,             0.99106,             0.98893,             0.61734,            0.029096,            0.017158,          0.00051092,           0.0003475,           0.0003475,           0.0003475
                 119,             0.01741,            0.016471,          0.00012286,              0.9855,             0.98979,             0.98682,             0.61688,            0.029069,             0.01724,           0.0005064,            0.000265,            0.000265,            0.000265
